,assists,GameID,GameMode,baronKills,bountyLevel,champExperience,champLevel,championName,damageDealtToObjectives,damageSelfMitigated,deaths,dragonKills,firstBloodAssist,firstBloodKill,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,kills,lane,largestCriticalStrike,largestKillingSpree,longestTimeSpentLiving,magicDamageDealtToChampions,magicDamageTaken,nexusLost,objectivesStolen,physicalDamageDealtToChampions,physicalDamageTaken,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,teamEarlySurrendered,teamId,timeCCingOthers,timePlayed,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,27,NA1_4428910794,ARAM,0,0,22636,18,Aphelios,3102,30619,17,0,True,False,False,17016,16600,Invalid,1,2,6673,3006,3085,6676,3072,3036,2052,9,TOP,588,0,164,820,11130,1,0,22259,28064,85,170,0,8,7,4,8,6,Q2nQowVmg_QBWqzasIL-oXlPqlIBmOSvu_i3qVSQ5gRDTZE,False,100,20,1571,25255,0,41098,2394,0,71,115,454,2175,1903,2,4,0,0,0,0,False
0,3,4035079604,CLASSIC,0,3,15453,16,Sett,18147,30659,6,0,False,False,True,14062,11650,TOP,0,0,3047,6630,3153,3075,1028,1036,3340,15,JUNGLE,12,7,414,678,4518,0,0,20578,24466,60,14,23,8,7,14,4,4,EQVwBXUPeravpsqdQVrS3VcZSJJ477gSW-bJY54xpv6ECSo,False,100,27,1657,23814,0,29672,4672,0,132,131,156,2556,686,4,4,10,0,0,7,True
0,19,4035079604,CLASSIC,0,3,13168,15,Trundle,27626,28297,4,2,True,False,True,10577,9500,JUNGLE,0,0,3075,2031,3044,3047,6632,1037,3340,4,JUNGLE,18,3,307,2363,5253,0,0,12428,26384,139,61,28,8,19,11,4,4,4EO1Lj5f26DxFkubiJbFbQRFJjIf3zXnz17ifqsOQJEqMPg,False,100,22,1657,15748,0,33209,20117,0,18,434,82,956,1571,6,4,21,3,0,11,True
0,6,4035079604,CLASSIC,0,1,13619,15,Sylas,10629,19937,5,1,True,False,True,13858,11650,MIDDLE,1,0,4629,3157,6656,3020,1082,1058,3340,18,MIDDLE,0,11,627,28722,6237,0,0,1081,20683,99,62,163,17,5,14,3,4,kcwayPs2n_YEPeuad0uELRycMIHbOEv_j5He2JTOAWuPcpM,False,100,29,1657,30404,0,27856,10474,0,148,323,127,600,935,6,4,8,0,0,5,True
0,7,4035079604,CLASSIC,1,1,10674,13,KogMaw,13624,6303,6,0,False,False,True,9292,8525,BOTTOM,0,0,6672,3085,1043,1055,3006,0,3340,5,BOTTOM,397,3,494,4903,4570,0,0,3471,10682,38,42,38,37,4,4,4,7,6V_t8aG11ISrjtD6Fe5q7u9VpIBNexVEQkXVyA5lOu3rTTn2,False,100,5,1657,10578,0,15774,4356,419,119,240,118,2202,521,3,4,3,1,1,2,True
0,24,4035079604,CLASSIC,0,0,11295,13,Nami,2707,5087,1,0,False,True,True,8284,7860,UTILITY,0,0,3853,3158,2065,3916,6616,1052,3364,1,MIDDLE,0,0,787,5799,2597,0,0,861,7319,29,80,76,10,4,4,8,14,x5ZNvNIX2tkmg1uKws3zNyTYTjTDESOi5X5vWRV7b1B9Tig,False,100,18,1657,7945,2292,10269,13054,9109,14,136,21,1284,352,5,4,68,5,7,31,True
0,1,4035079604,CLASSIC,0,0,11591,14,Yone,8203,17006,12,0,False,False,True,9156,8400,TOP,0,1,1054,3006,6673,3031,0,0,3340,1,JUNGLE,468,0,227,2055,3776,0,0,6615,18182,217,58,28,8,2,14,4,4,BV4ZZGZsY53jSSbe0GUiJeHZ8hE4YOpRC02voTQYrxFtJ4S72iXGpcIrcQ,False,200,13,1657,10341,0,23227,1835,0,129,133,329,1670,1268,0,10,4,0,1,1,False
0,5,4035079604,CLASSIC,0,0,10064,13,Viego,6896,16133,9,1,False,False,True,9167,8675,JUNGLE,0,1,3047,2031,6632,3153,1031,0,3364,5,JUNGLE,0,3,508,2434,11158,0,1,11594,17667,110,56,39,13,5,4,11,11,u1iGIoISWuMUXtYikgdi-wbxurePxu5dEcOsJFVKRpfuBYsG,False,200,13,1657,14112,0,30551,9416,0,33,80,278,84,1725,2,10,17,3,2,3,False
0,2,4035079604,CLASSIC,0,0,13593,15,Yasuo,11150,24068,6,0,False,False,True,15121,15230,MIDDLE,0,1,6333,3006,6673,3031,3072,0,3340,9,MIDDLE,750,4,788,2149,5490,0,0,24993,13988,260,6,125,6,5,14,2,4,HjqIqRcMn-SUEAuTnWXEFG093jrs2LvQW-awzh5GdACWz1Am,False,200,26,1657,28408,0,21038,5216,0,197,183,196,1266,1560,4,10,12,0,1,8,False
0,5,4035079604,CLASSIC,0,0,8732,12,Caitlyn,757,5914,9,0,False,False,True,9350,8475,BOTTOM,0,1,1055,6672,3006,3031,0,0,3340,4,BOTTOM,751,0,508,516,11856,0,0,12364,5612,27,40,13,4,2,4,5,7,FmCxxMHeW8QZkk0mW9GdcxFKBJu1J_zNx8Nvv8gcaFtyyR4,False,200,18,1657,13533,0,19182,3159,210,119,46,206,652,1713,0,10,9,1,0,7,False
0,5,4035079604,CLASSIC,0,0,8786,12,Swain,645,5894,7,0,False,False,True,7423,6550,UTILITY,0,1,3853,6653,2423,3020,1011,1026,3364,3,BOTTOM,0,2,698,13171,12004,0,0,756,4982,49,40,42,6,1,14,3,4,j3MswnlwbApLoAwKJH7HCVjuMKUDqpJt_70EnUrj7TAblIpjnyZQC1j7jw,False,200,28,1657,14322,0,18318,2339,0,39,161,198,395,1331,0,10,18,0,3,8,False
0,0,4035079613,CLASSIC,0,0,8134,11,Garen,2236,8049,1,0,False,False,True,5447,5250,TOP,0,0,1054,3139,3006,1042,1036,0,3340,2,NONE,147,2,944,0,6341,0,0,2911,3902,35,8,32,3,3,6,3,14,aWeSKIc3_9P0VQQy9D5ohDVbCKFmhRNn7-m8-Nyj8F-EOB0,False,100,5,1012,4233,0,10299,257,0,94,34,35,1322,56,0,4,4,0,0,2,False
0,1,4035079613,CLASSIC,0,0,6887,10,FiddleSticks,5041,6370,3,0,False,False,True,5294,5000,JUNGLE,0,0,2423,3152,2003,2055,3020,0,3330,0,NONE,0,0,669,1751,3488,0,0,0,10591,18,75,43,3,2,4,9,11,uvjjbDuvXWvLXT9lhhE-OjAfcBSo32fLRdRLMMYtKDUORsOjXn5Uqq3NKg,False,100,7,1012,1934,0,14262,8334,0,14,437,90,183,182,0,4,18,4,1,2,False
